Name	Set	ImageFile	SetID	Type	Subtype/Race	Cost	T.Cost	ATK	DEF	Attribute	Rarity	Script	Cardtext
Turnaround	1	1-139	1-139	Spell	Chant - Instant	{u}{u}{1}	3			Water	C		[Break] Return target resonator to its owner's hand.|Rest two target resonators.
Windfall	1	1-140	1-140	Spell	Chant - Instant	{u}{3}	4			Water	C		[Break] Draw a card from your main deck.|Target player draws two cards from his or her main deck.
Peace Negotiation	1	1-141	1-141	Spell	Chant - Standby	{u}{1}	2			Water	C		[Break] All damage becomes 0 until end of turn.|[Trigger] At the beginning of opponent's battle phase: End the battle phase. That opponent cannot declare attack until end of turn.
Spiral Shift	1	1-142	1-142	Spell	Chant - Standby	{u}{1}	2			Water	C		[Break] Rest target resonator. Draw a card from your main deck.|[Trigger] When a summon spell is played. Cancel that summon spell, put that card into its owner's main deck instead of its owner's graveyard and shuffle the main deck. Opponent player draws two cards from his or her main deck.
Forced Repatriation Machine	1	1-143	1-143	Spell	Chant - Standby	{u}{u}	2			Water	C		[Break] Return target resonator to its owner's hand.|[Trigger] When a resonator summoned: Return target summoned resonator to its owner's hand.
Exchange Condition of Chronos	1	1-144	1-144	Spell	Chant - Standby	{u}{u}	2			Water	R		[Trigger] When a resonator summoned: Each player chooses a resonator in his or her field. Then exchange control of those resonator.
Guardian of Outland	1	1-145-r,1-145-j	1-145	Ruler				0 | 0	0 | 3000	Wind	R		[J-Activate] Pay {g}{g}{g}|[Activate] [Rest]: Target resonator gains [+200 / +0] and [Pierce] until end of turn. / [Continuous] At the end of turn, return each resonator this card blocked to its owner's hand.|[Continuous] When this card becomes targeted by an opponent's spell, return this card to ruler side at the end of turn.|[Continuous] This card can block resonators with [Flying].|[Enter] Target player draws two cards from his or her main deck.
Sprout of Treasure Tree	1	1-146	1-146	Resonator	Divine Tree	{g}	1	0	100	Wind	SR		[Continuous] This card cannot attack.|[Enter] Discard a wind attribute card from your hand: Produce {g}{g}{g}.|[Activate] Banish this card: Destroy target card in a chant-standby area.
Tree of Heaven's Blessing	1	1-147	1-147	Resonator	Treeman	{g}{1}	2	0	600	Wind	C		[Break] Put this card into your field.|[Continuous] This card cannot attack.|[Enter] Target player draws a card from his or her main deck.
Tree of Eternity	1	1-148	1-148	Resonator	Treeman	{g}{2}	3	0	600	Wind	U		[Break] Choose a [Spell: Chant-Standby] in your graveyard and put it into your hand.|[Continuous] This card cannot attack.|[Enter] Choose a [Spell: Chant-Standby] in your graveyard and put it into your hand.
Cyclone Tree	1	1-149	1-149	Resonator	Treeman	{g}{2}	3	0	700	Wind	R		[Break] Put this card into your hand.|[Continuous] This card cannot attack.|[Enter] Return target resonator or addition to its owner's hand.
Windcalling Flower	1	1-150	1-150	Resonator	Divine Tree	{g}{2}	3	0	200	Wind	U		[Break] Put this card into your field.|[Continuous] This card cannot attack.|[Continuous] Whenever a spell is played, cancel target spell and banish this card. You must play this ability if able.
Babel Tree	1	1-151	1-151	Resonator	Treeman	{g}{2}	3	0	1200	Wind	C		[Break] Put this card into your field. Destroy it at the end of turn.|[Continuous] This card cannot attack.|[Continuous] This card can block resonators with [Flying].
Solid Giant Tree	1	1-152	1-152	Resonator	Treeman	{g}{2}	3	0	1200	Wind	U		[Break] Draw two cards from your main deck.|[Continuous] This card cannot attack.|[Continuous] When this card is put into a graveyard from your field, draw a card from your main deck.
Gottfried, Elemental Knight	1	1-153	1-153	Resonator	Elf	{g}{g}{1}	3	400	400	Wind	SR		[Break] Choose an addition in your graveyard and put it into your hand.|[Target Attack]|[Continuous] While this card is targeted by an addition, this card gains [+300 / +300].|[Continuous] For each [Addition: Resonator] on this card, it gains [+300 / +300]. (This effect is cumulative)
Gnome, Elemental of Earth	1	1-154	1-154	Resonator	Spirit	{g}	1	200	200	Wind	U		[Break] Put this card into your field.|[Activate] Pay {g}{1}, banish this card: Search for a magic stone from your magic stone deck and put it into your magic stone area rested. Then shuffle your magic stone deck.
Faun, the Player of Stub	1	1-155	1-155	Resonator	Spirit	{g}{2}	3	400	400	Wind	U		[Break] Put this card into your hand.|[Enter] Target resonator gains [+600 / +600] until end of turn.
Tempting Alraune	1	1-156	1-156	Resonator	Spirit	{g}{g}{g}{2}	5	0	800	Wind	R		[Break] Put this card into your field. Destroy it at the end of turn.|[Continuous] This card cannot attack.|[Continuous] This card doesn't rest when it blocks.|[Continuous] At the end of battle phase, destroy the resonator that this card blocked.
Updraft	1	1-157	1-157	Addition: Field		{g}{2}	3			Wind	C		[Continuous] Each of opponent's resonators gain [Flying].|[Continuous] Each resonator with [Flying] cannot block resonators without [Flying].
Parasite Seed	1	1-158	1-158	Addition: Resonator		{g}{1}	2			Wind	C		[Continuous] Resonator with this cannot attack unless the controller of that resonator pays {4}.|[Activate] Pay {2}: The controller of the resonator with this can add this card on another target resonator. This ability can be activated only once per turn.
Stampeding Summon	1	1-159	1-159	Spell	Chant	{g}{g}{2}	4			Wind	R		[Break] Each player draws a card from his or her main deck.|Reveal cards from the top of your main deck until you reveal a resonator, then summon the resonator to the field. Then put the rest of the revealed cards into your graveyard.
Force Drain	1	1-160	1-160	Spell	Chant - Instant	{g}{1}	2			Wind	C		[Break] Draw a card from your main deck.|Cancel target normal spell played by an opponent.
Wind Cutter	1	1-161	1-161	Spell	Chant - Instant	{g}{g}	2			Wind	C		[Break] Draw a card from your main deck.|Cancel target summon spell played by an opponent.
Thousands Rain	1	1-162	1-162	Spell	Chant - Instant	{g}{2}	3			Wind	C		[Break] Draw a card from your main deck.|Destroy target resonator with [Flying].
Throwback	1	1-163	1-163	Spell	Chant - Instant	{g}{g}{1}	3			Wind	U		[Break] Return target resonator to its owner's hand.|Return target resonator or addition to its owner's hand.
Grasp of Magic Power	1	1-164	1-164	Spell	Chant - Instant	{g}{g}{2}	5			Wind	R		Cancel target spell played by your opponent. Then you may play it without paying its cost. If the card is a resonator, put it into your field when it resolves.
Sprout the Seeds	1	1-165	1-165	Spell	Chant - Standby	{g}{1}	2			Wind	C		[Break] Put this card into your chant-standby area face up.|[Trigger] At the beginning of battle phase: Each ATK of [Race: Treeman] cards in your field becomes the same as its DEF until end of turn.
Sneak Attack	1	1-166	1-166	Spell	Chant - Standby	{g}{1}	2			Wind	C		[Break] Put this card into your chant-standby area face up.|[Trigger] At the beginning of opponent's battle phase: You may choose a resonator in your hand, paying its cost and put it into your field.
Black Wizard	1	1-167-r,1-167-j	1-167	Ruler				0 | 200	0 | 800	Darkness	R		[J-Activate] Pay {d}{d}{d}|[Activate] Pay {d}, discard a resonator card from your hand: Draw a card from your main deck. / [Enter] Destroy target resonator.|[Activate] Pay {d}{d}{3},[Rest]: Destroy target resonator.|[Activate] Pay {d}: This card deals 100 damage to each resonator and other J-Rulers.
Phantom Wall	1	1-168	1-168	Resonator	Nightmare	{d}{1}	2	0	200	Darkness	C		[Break] Put this card into your field.|[Continuous] Whenever this card is dealt battle damage, this card deals damage to your opponent equal to that damage.
Knight of Regret	1	1-169	1-169	Resonator	Nightmare	{d}{d}{1}	3	400	400	Darkness	U		[Continuous] When this card is put into a graveyard, this card becomes [Addition: Resonator]. Add this card on target resonator. Then this card gains this ability: [Continuous] Resonator with this cannot recover in a recovery phase."
Spitting Imp	1	1-170	1-170	Resonator	Nightmare	{d}{d}{1}	3	400	400	Darkness	U		[Continuous] When this card is put into a graveyard, this card becomes [Addition: Resonator]. Add this card on target resonator. Then this card gains this ability: [Continuous] Whenever resonator with this becomes rested, this card deals 400 damage to that resonator's controller."
Rotting Bloodsucker	1	1-171	1-171	Resonator	Nightmare	{d}{d}{1}	3	400	400	Darkness	U		[Continuous] This ability can be activated only once per turn. When this card is put into a graveyard, this card becomes [Addition: Resonator]. Add this card on target resonator. Then this card gains this ability: [Continuous] Resonator with this gains [-400 / -400]."
Enforcer of Conviction	1	1-172	1-172	Resonator	Black Ones	{d}{d}	2	400	400	Darkness	R		[Break] Each player banishes a resonator in his or her field.|[Activate] Pay {d}{d}: At the end of battle phase, destroy the resonator that blocked this card.
Skeleton Soldier	1	1-173	1-173	Resonator	Skeleton	{d}	1	200	200	Darkness	C		[Break] Put all [Race: Skeleton] resonator in your graveyard into your field.
Wraith, the Pained Soul	1	1-174	1-174	Resonator	Ghoul	{d}{2}	3	600	600	Darkness	C		[Continuous] At the end of a battle phase this card battled, put the top two cards from your main deck into your graveyard.
Wondering Soul	1	1-175	1-175	Resonator	Ghoul	{d}{2}	3	600	200	Darkness	C		[Flying]
Jack-o-lantern	1	1-176	1-176	Resonator	Spirit	{d}{d}{1}	3	400	400	Darkness	C		[Continuous] This card cannot be blocked.|[Continuous] When this card is targeted by a spell or ability, banish this card. Then this card deals 500 damage to you and your opponent.
Amon, the Demon Prince of Conspiracy	1	1-177	1-177	Resonator	Demon	{d}{3}	4	*	*	Darkness	SR		As you play this card, you pay any amount of life in multiples of 100.|[Continuous] ATK and DEF of this card becomes [life you paid as you played this card].
Grendel	1	1-178	1-178	Resonator	Demon	{d}{4}	5	1200	1200	Darkness	R		[Enter] Banish a card in your lifebreak area: If you don't, destroy this card. You must trigger this ability when this enters into your field.|[Activate] Pay {d}{d}{d}: Put this card from your graveyard into your field.
Faust, the Promising Warrior	1	1-179	1-179	Resonator	Demon	{d}{d}{4}	6	1200	1000	Darkness	SR		[Pierce]|When you are dealt 1000 or more battle damage by a single resonator, you may put this card into your field from your hand without paying its cost.|[Continuous] At the end of your recovery phase, pay {d}{d}. If you don't, banish this card.
Black Magnetic Field	1	1-180	1-180	Addition: Field		{d}{d}{3}	5			Darkness	R		[Continuous] Non-dark resonators cannot attack unless the controller of that resonator rests another resonator or magic stone in his or her field.
Mark of Binding	1	1-181	1-181	Addition: Resonator		{d}	1			Darkness	C		[Break] Add this on target resonator.|[Continuous] Resonator with this gains [-400 / -400].
Oath of Dead	1	1-182	1-182	Addition: Resonator		{d}{1}	2			Darkness	R		Choose a resonator in your graveyard, put it into your field and add this card on it.|[Continuous] When this card leaves a field, destroy the resonator put into a field by the ability of this card.|[Continuous] Resonator with this gains [-200 / -200].
Oath of Dark Night	1	1-183	1-183	Spell	Chant	{d}	1			Darkness	U		[Break] Draw a card from your main deck.|You lose 400 life. Produce {d}{d}{d}. You cannot play [Oath of Dark Night] for the rest of the game.
Shriek of the Dead	1	1-184	1-184	Spell	Chant	{d}{1}	2			Darkness	U		[Break] Target player discards a card from his or her hand.|Target player chooses a card in his or her hand at random and discards it.
Black Sun	1	1-185	1-185	Spell	Chant	{d}{d}{3}	5			Darkness	R		Put all cards in all magic stone areas on the bottom of their owner's magic stone decks. (Each owner chooses the order of the cards.)
Kiss of Death	1	1-186	1-186	Spell	Chant - Instant	{d}{1}	2			Darkness	U		[Break] Destroy target resonator.|Destroy target non-{Light} resonator.
Ghost's Beckoning	1	1-187	1-187	Spell	Chant - Standby	{d}{1}	2			Darkness	C		[Break] Destroy target resonator.|[Trigger] During the end phase of a turn where your resonator has been destroyed: Destroy target resonator.
Black Order	1	1-188	1-188	Spell	Chant - Standby	{d}{d}	2			Darkness	C		[Break] Target player discards a card from his or her hand.|[Trigger] When a player draws a card: Discard the drawn card.
Fake Wall	1	1-189	1-189	Resonator	Gimmick		0	0	400	Void	C		
Bomber Gimmick	1	1-190	1-190	Resonator	Gimmick	{3}	3	600	200	Void	C		[Explode]
Blast Gimmick	1	1-191	1-191	Resonator	Gimmick	{3}	3	400	200	Void	U		[Activate] Pay {2}, banish this card: This card deals 400 damage to target resonator or player. This ability can be activated only once per turn.
Healing Gimmick	1	1-192	1-192	Resonator	Gimmick	{3}	3	200	600	Void	U		[Activate] Pay {2}, banish this card: You gain 500 life.
Gimmick Mimic	1	1-193	1-193	Resonator	Gimmick	{4}	4	200	200	Void	U		[Continuous] As long as this card is in your field, rulers cannot do judgement.
Flying Gimmick	1	1-194	1-194	Resonator	Gimmick	{4}	4	500	500	Void	C		[Flying]
Sting Gimmick	1	1-195	1-195	Resonator	Gimmick	{5}	5	1000	400	Void	U		[Pierce]
Gimmick Golem	1	1-196	1-196	Resonator	Gimmick	{6}	6	1000	1000	Void	R		[Activate] Pay {2}, let this card gain [-200 / -200] until end of turn: This card gains [Flying], [Pierce], [Explode], or [Target Attack] until end of turn.
Circle of Nullify	1	1-197	1-197	Addition: Ruler / J-Ruler		{3}	3			Void	U		[Break] Put this card into your hand.|[Continuous] As you add this, choose an ability of the ruler. That ruler loses the ability. You cannot choose [J-Activate] with this.|[Continuous] As you add this, choose an ability of the J-ruler. That J-ruler loses the ability.
Resolute Will	1	1-198	1-198	Spell	Chant - Instant	{3}	3			Void	U		[Break] Draw a card from your main deck.|Cancel target spell that targets a J-ruler.
Second Chance	1	1-199	1-199	Spell	Chant - Instant	{3}	3			Void	C		[Break] Draw a card from your main deck.|Cancel target judgement. Your opponent cannot do judgement again this turn. The cost paid for the judgement is returned as though it was not paid.
Recycle	1	1-200	1-200	Spell	Chant - Instant	{3}	3			Void	U		[Break] Destroy target resonator without any attribute cost.|Destroy target resonator or addition without any attribute. Controller of that card may draw a card from his or her main deck.
Bind Trap	1	1-201	1-201	Spell	Chant - Standby	{2}	2			Void	C		[Break] Put this card into your chant-standby area face up.|[Trigger] When a J-ruler attacked: Battle damage dealt by J-ruler becomes 0 until end of turn.
Light Magic Stone	1	1-202	1-202	Magic Stone							C		[Activate] [Rest]: Produce {w}.
Fire Magic Stone	1	1-203	1-203	Magic Stone							C		[Activate] [Rest]: Produce {r}.
Water Magic Stone	1	1-204	1-204	Magic Stone							C		[Activate] [Rest]: Produce {u}.
Wind Magic Stone	1	1-205	1-205	Magic Stone							C		[Activate] [Rest]: Produce {g}.
Darkness Magic Stone	1	1-206	1-206	Magic Stone							C		[Activate] [Rest]: Produce {d}.
White Wizard	2	2-001-r,2-001-j	2-001	Ruler				0 | 200	0 | 800	Light	R		[J-Activate] Pay {w}{w}{w}.|[Continuous] The free cost for light attribute [Spell: Chant] and [Spell: Chant-Instant] cards are reduced by {1}. / [Activate] [Rest]: Produce {w}{w}{w}.|[Continuous] The free cost for [Spell: Chant] and [Spell: Chant-Instant] cards you play are reduced by {2}.|[Enter] You may put any number of [Spell: Chant-Standby] cards from your hand into your chant-standby area.
Ishtar, the Great Goddess of Kindness	2	2-002	2-002	Resonator	Deity	{w}{w}{3}	5	800	800	Light	SR		[Activate] Pay {w}{w}: The ATK of up to two target resonators becomes 0 until end of turn.
Ywain, the Knight of Leo	2	2-003	2-003	Resonator	Knight of the Round Table	{w}{w}{1}	3	400	700	Light	R		[Activate] Pay {w}{w}: Search for a Sleeping Lion" from your main deck and put it into your field. Then shuffle your main deck.|[Activate] Pay {w}{w}{3}: Search for a [Race: Lion] resonator with total cost 6 or less from your main deck and put it into your field. Then shuffle your main deck."
Angel of Wisdom	2	2-004	2-004	Resonator	Angel	{w}{w}{4}	6	800	800	Light	U		[Flying]|[Enter] Draw two cards from your main deck. Then discard a card from your hand.|[Activate] Pay {w}: This card gains [+100 / +0] until the end of turn.
Kingdom Protection Circle	2	2-005	2-005	Resonator	Wizard	{w}{2}	3	200	500	Light	C		[Continuous] This card gains [+0 / +200] for each other light attribute resonator in your field.|[Continuous] This card cannot attack.
Trainer of Kings	2	2-006	2-006	Resonator	Wizard	{w}{1}	2	200	200	Light	C		[Break] Produce {w} for each light resonator in all fields.|[Activate] [Rest]: If you have another light attribute resonators in your field, Produce {w}{w}.
Monk of Kindness	2	2-007	2-007	Resonator	Monk	{w}{1}	2	100	300	Light	C		[Break] Target resonator cannot be dealt any battle damage until end of turn.|[Activate] Pay {w},[Rest]: Target resonator cannot be dealt any battle damage until end of turn.
Monk of Blessing	2	2-008	2-008	Resonator	Monk	{w}{2}	3	100	600	Light	C		[Activate] [Rest]: Rest another target recovere resonator in your field. You gain 500 life.
Knight of Honor	2	2-009	2-009	Resonator	Knight of the Round Table	{w}{w}{1}	3	700	700	Light	C		[Break] Put this card into your field.
Heavy Horseman	2	2-010	2-010	Resonator	Knight	{w}{2}	3	400	400	Light	C		[Enter] Put an [Addition: Resonator] from your hand onto this card.
One Who Reaches to the Sky	2	2-011	2-011	Resonator	Knight	{w}{w}{5}	7	1500	900	Light	U		[Continuous] When you attack with this card, it deals 500 damage to target resonator.
Pouncing Lion	2	2-012	2-012	Resonator	Lion	{w}{2}	3	600	100	Light	R		[Break] Put this card into your field.|[Target Attack]|[First Strike]
Fair and Square	2	2-013	2-013	Addition: Field		{w}{1}	2			Light	C		[Continuous] Each player places each [Spell: Chant-Standby] in his or her chant-standby area face up.
Surging Battle Cry	2	2-014	2-014	Addition: Field		{w}{2}	3			Light	R		[Continuous] Each [Race: Deity] resonator gains [+200 / +200].|[Continuous] Each [Race: Spirit] resonator gains [+300 / +300].
Spear from God	2	2-015	2-015	Addition: Resonator		{w}{w}{1}	3			Light	U		[Continuous] Resonator with this gains [+300 / +300] and [Target Attack].
Queen's Prayer	2	2-016	2-016	Spell	Chant	{w}{1}	2			Light	C		Break] You gain 300 life for each resonator in your field.|You gain 300 life for each resonator in your field.
Lightning Ray	2	2-017	2-017	Spell	Chant	{w}{1}	2			Light	C		[Break] This card deals 400 damage to target resonator in your opponent's field.|This card deals 300 damage to target resonator in your opponent's field.
Stab Each Other	2	2-018	2-018	Spell	Chant - Standby	{w}{w}	2			Light	R		[Trigger] During your end phase: Destroy a number of your opponent's resonators equal to the number of your resonators destroyed this turn.
Allied Force	2	2-019	2-019	Spell	Chant - Standby	{w}{w}	2			Light	C		[Break] Target resonator or J-ruler gains [+0 / +1000] until end of turn.|[Trigger] Anytime: Target resonator or J-ruler gains [+0 / +1000] until end of turn.
Supply Distribution	2	2-020	2-020	Spell	Chant - Standby	{w}{1}	2			Light	C		[Break] You gain [Total cost of target resonator x100] life.|[Trigger] When a resonator is summoned: you gain life equal to the ATK of that resonator.
Red Wizard	2	2-021-r,2-021-j	2-021	Ruler				0 | 200	0 | 800	Fire	R		[J-Activate] Pay {r}{r}{r}.|[Activate] [Rest]: You can only use this ability during a main phase. Damage dealt by your spells deal 300 more damage until end of turn. / [Activate] Discard a card from your hand: This card deals 200 damage to target resonator.|[Activate] [Rest]: You can only use this ability during a main phase. Damage dealt by your spells deal 500 more damage until end of turn.
Kanna, the Oracle of Flame	2	2-022	2-022	Resonator	Oracle	{r}{r}{r}	3	400	700	Fire	SR		[Continuous] This card cannot be attacked by your opponent's resonators.|[Activate] Pay {r}{r}{r}, [Rest], return a [Race: Samurai] resonator in your field to its owner's hand: Put a [Race: Deity] resonator from your hand into your field.
Gilgamesh, the Tyrant of Hunt	2	2-023	2-023	Resonator	Deity	{r}{r}{4}	6	1000	800	Fire	R		[Continuous] If a source would deal 500 or less damage to this card, that damage is reduced to 0.|[Continuous] If Enkidu, the Sworn Friend" is in your field, this card gains [+200 / +200] and [Pierce]."
Enkidu, the Sworn Friend	2	2-024	2-024	Resonator	Deity	{r}{r}{2}	4	600	600	Fire	R		[Continuous] If Gilgamesh, the Tyrant of the Hunt" is in your field, this card gains [+400 / +400].|[Enter] If "Gilgamesh, the Tyrant of the Hunt" is in your field, destroy target resonator in your opponent's field."
Gugalanna, the Bull of Heaven	2	2-025	2-025	Resonator	Divine Beast	{r}{3}	4	400	400	Fire	R		[Continuous] When this card leaves your field, you may destroy target [Race: Deity] resonator.
Firefloor Drake	2	2-026	2-026	Resonator	Dragon	{r}{2}	3	500	200	Fire	U		[Break] Put this card into your field. This triggers its [Enter] ability.|[Flying]|[Continuous] At the end of turn, put this card into your hand.|[Enter] This card can attack in the turn it's summoned.
Baby Dragon of Asakna	2	2-027	2-027	Resonator	Dragon	{r}{1}	2	200	200	Fire	C		[Break] You may put a [Race: Dragon] resonator from your hand into your field.|[Activate] Banish this card: The free cost for [Race: Dragon] resonators in your hand is reduced by {2} until end of turn.
Exploding Rock Golem	2	2-028	2-028	Resonator	Golem	{r}{3}	4	600	800	Fire	C		[Continuous] When this resonator is destroyed, it deals 600 damage to target resonator or player.
Blasting Beetle	2	2-029	2-029	Resonator	Insect	{r}{3}	4	400	400	Fire	C		[Break] This card deals 500 damage to target resonator.|[Activate] Banish this card: Choose an attribute. This card deals 500 damage to each resonator of that attribute.
Blood Moon	2	2-030	2-030	Addition: Field		{r}{r}{1}	3			Fire	R		[Continuous] When a resonator is dealt 100 or more damage, destroy it.
Battery Kamikaze	2	2-031	2-031	Addition: Field		{r}{1}	2			Fire	C		[Activate] Banish a resonator in your field and discard a card from your hand: This card deals 200 damage to target resonator or player.
Flaming Art ~Purgatory~	2	2-032	2-032	Addition: Field		{r}{r}{r}	3			Fire	C		[Continuous] At the end of your turn, this card deals 300 damage to each player.|[Continuous] At the end of your recovery phase, banish this card unless you pay {r}.
Pyre Shield	2	2-033	2-033	Addition: Resonator		{r}{1}	2			Fire	C		[Continuous] When the resonator with this is dealt damage, this card deals that much damage to you and your opponent.
Surprise Attack	2	2-034	2-034	Spell	Chant	{r}{1}	2			Fire	C		[Break] Rest target recovered resonator in your opponent's field. Recover target rested resonator in your opponents field.|Rest target recovered resonator in your opponent's field. Recover target rested resonator in your opponents field.
Burning Will	2	2-035	2-035	Spell	Chant - Instant	{r}{1}	2			Fire	C		[Break] ATK of target resonator is increased by [the number of cards in your magic stone area x200] until end of turn.|ATK of target resonator is increased by [the number of cards in your magic stone area x100]
Magic Flame	2	2-036	2-036	Spell	Chant - Instant	{r}{1}	2			Fire	C		[Break] This card deals 500 damage to target resonator or player.|Discard a card from your hand. This card deals 600 damage to target resonator or player.
Booby Trap	2	2-037	2-037	Spell	Chant - Standby	{r}{r}	2			Fire	U		[Break] Destroy target resonator.|[Trigger] When a resonator is summoned, pay {3}: Destroy target resonator that was just summoned.
Flaming Art ~Ash and Smoke~	2	2-038	2-038	Spell	Chant - Standby	{r}{1}	2			Fire	C		[Break] Destroy target addition.|[Trigger] Anytime: Destroy target addition.
Flaming Art ~Beacon Fire~	2	2-039	2-039	Spell	Chant - Standby	{r}{1}	2			Fire	C		[Break] This card deals 800 damage to target resonator with additions.|[Trigger] When a normal spell is played: This card deals 1000 damage to target resonator with additions.
Blue Wizard	2	2-040-r,2-040-j	2-040	Ruler				0 | 200	0 | 800	Water	R		[J-Activate] Pay {u}{u}{u}.|[Activate] Pay {u}{u}{u}, discard a card from your hand: Return target resonator to its owner's hand. / [Activate] Pay {u}{1}, discard a card from your hand: Return target resonator to its owner's hand.|[Activate] Pay {u}{u}: Draw a card from your main deck. Then discard a card from your hand.
Poseidon, the Great Emperor God of Ocean	2	2-041	2-041	Resonator	Deity	{u}{u}{u}{4}	7	1500	1500	Water	SR		[Continuous] At the end of turn, destroy all resonators in your field that are not named Poseidon, the Great Emperor God of Oceans", then discard two card from your hand.|[Activate] Banish four cards in your lifebreak area: Return all resonators in your opponent's field to the bottom of his or her main deck.|[Activate] Pay {u}{3}: Rest all resonators that are not named "Poseidon, the Great Emperor God of Oceans"."
Abzu, the Water God of Truth	2	2-042	2-042	Resonator	Deity	{u}{u}	2	200	200	Water	U		[Break] You may choose a card in your hand and put it face down on the bottom of your lifebreak area.|[Flying]|[Activate] Pay {0}: Look at the top card of your main deck. Then put that card on top or bottom of your main deck. This ability can only be activated once per turn.
Gear Golem, the Magical Soldier	2	2-043	2-043	Resonator	Golem	{u}{u}{3}	5	0	500	Water	R		[Continuous] This card's ATK is increased by [Total number of [Spell: Chant-Instant] cards in all graveyards x 200].|[Continuous] When this card is put into the graveyard from your field, return two target resonators in your opponent's field to their owner's hands.
Dagon, the Abomination of Deep Sea	2	2-044	2-044	Resonator	Merman	{u}{u}{2}	4	600	600	Water	R		[Continuous] If you have four cards in your lifebreak area, this card gains [+400 / +400] and [Pierce].
Tsunami Spirit	2	2-045	2-045	Resonator	Spirit	{u}{3}	4	600	600	Water	C		[Enter] Return target resonator to its owner's hand.
Sea Serpent in Storm	2	2-046	2-046	Resonator	Dragon	{u}{u}{1}	3	1000	600	Water	C		[Break] Put this card into your opponent's field.|[Activate] {0}: Look at the top card of your magic stone deck. Then put that card on top or bottom of it. This ability can be activated only once per turn.
Indigo Siren	2	2-047	2-047	Resonator	Mermaid	{u}{2}	3	0	600	Water	C		[Break] Gain control of target resonator in your opponent's field with total cost 3 or more until end of turn.|[Activate] [Rest]: Gain control of target resonator in your opponent's field with total cost 3 or less until end of turn.
Maid of Siren	2	2-048	2-048	Resonator	Mermaid	{u}	1	200	200	Water	C		[Activate] Banish this card: Put this card face down on bottom of its owner's lifebreak area. You cannot use this ability if there are four or more card in the area.
Mirage Arowana	2	2-049	2-049	Resonator	Demonfish	{u}{u}	2	400	400	Water	C		[Continuous] If you have four cards in your lifebreak area, this card cannot be blocked.|[Continuous] If your opponent has two or less cards in his or her lifebreak area, this card cannot block.
Predator Anemone	2	2-050	2-050	Resonator	Demonfish	{u}	1	200	200	Water	C		[Break] Put this card into your field.|[Continuous] If you have three or less cards in your lifebreak area, this card gains [+200 / +200].
Paradise of Deep Sea	2	2-051	2-051	Addition: Field		{u}{u}	2			Water	R		When this card enters your field, destroy all cards in your magic stone area.|[Continuous] Each resonators with [Flying] cannot attack.|[Continuous] [Race: Mermaid] resonators you control gain [+200 / +200].
Water Bubble Robe	2	2-052	2-052	Addition: Resonator		{u}{1}	2			Water	U		[Continuous] Resonator with this cannot be dealt any battle damage.|[Continuous] At the beginning of your main phase, banish thi card unless you pay {u}.
Mutating Potion -regenerate-	2	2-053	2-053	Addition: Resonator		{u}	1			Water	C		[Activate] Banish this card: Target resonator that had this card on it cannot be dealt battle damage until end of turn.
Aqua Magic -tempest-	2	2-054	2-054	Spell	Chant	{u}{u}{2}	4			Water	R		Return all Resonators on all Fields back to their owner's Hands.
Angelic Voice	2	2-055	2-055	Spell	Chant	{u}{u}{1}	3			Water	C		[Break] You may banish a [Race: Mermaid] resonator in your field. If you do, put a [Race: Dragon] resonator from your hand into your field.|You may banish two [Race: Mermaid] resonators in your field. If you do, put a [Race: Dragon] resonator from your hand into your field.
Coral Rain	2	2-056	2-056	Spell	Chant	{u}{1}	2			Water	C		[Break] Produce {u} for each [Race: Mermaid] card in your field.|Produce {u} for each [Race: Mermaid] card in your field.
Magic Wave	2	2-057	2-057	Spell	Chant - Instant	{u}{1}	2			Water	C		[Break] You may move target [Addition: Resonator] onto another resonator.|You may move target [Addition: Resonator] onto another resonator.
Mind Pollution	2	2-058	2-058	Spell	Chant - Standby	{u}{u}	2			Water	U		[Break] Gain control of target resonator until the end of turn.|[Trigger] When an opponent's resonator is summoned, pay {u}{u}{3}: Gain control of target resonator that was just summoned.
Mermaid's Allure	2	2-059	2-059	Spell	Chant - Standby	{u}{u}	2			Water	C		[Trigger] During your opponent's main phase: Each resonator attacks this turn if able.
Arwyn, the Queen of Deep Green	2	2-060-r,2-060-j	2-060	Ruler				0 | 200	0 | 1000	Wind	R		[J-Activate] Pay {g}{g}{g}. You can activate this if you have three or more resonators in your field.|[Activate] [Rest]: Target wind attribute resonator gains [+500 / +500] until the end of turn. / [Continuous] Your [Race: Elf] resonators gain [+200 / +200].|[Continuous] Your [Race: Elf] resonator gain [Activate] [Rest]: Recover target magic stone.".|[Enter] You may put any number of [Race: Elf] resonators from your hand into your field."
Green Wizard	2	2-061-r,2-061-j	2-061	Ruler				0 | 200	0 | 600	Wind	R		[J-Activate] Pay {g}{g}{g}|[Activate] [Rest]: Destroy target resonator with [Flying]. / [Continuous] Resonators in your field can block resonator with [Flying].|[Enter] Choose a spell in your graveyard and put it into your hand.|[Activate] Pay {g}{g}, discard a card from you hand: Cancel target spell played by your opponent.
Artemis, the Goddess of Hunt	2	2-062	2-062	Resonator	Deity	{g}{g}{2}	4	600	600	Wind	R		[Target Attack]|[Continuous] During battle phase, this card cannot be dealt any battle damage from [Race: Beast] or [Race: Divine Beast] resonators. At the end of battle phase, destroy target [Race: Beast] or [Race: Divine Beast] resonator that this card battled.
